,0,1
0,1970,56500
1,1971,49600
2,1972,64800
3,1973,91200
4,1974,101600
5,1975,112100
6,1976,115300
7,1977,111900
8,1978,115200
9,1979,129300
10,1980,177100
11,1981,151800
12,1982,144800
13,1983,202300
14,1984,200700
15,1985,204600
16,1986,187100
17,1987,189000
18,1988,141400
19,1989,152200
20,1990,177300
21,1991,189300
22,1992,228400
23,1993,246600
24,1994,272100
25,1995,225100
26,1996,222700
27,1997,264100
28,1998,292100
29,1999,328300
30,2000,290412
31,2001,292208
32,2002,278456
33,2003,287017
34,2004,330441
35,2005,331225
36,2006,317856
37,2007,309633
38,2008,266244
39,2009,222356
40,2010,445796.033
41,2011,386063.9941
42,2012,415279.823
43,2013,435792.09
44,2014,457921.907
45,2015,508614
46,2016,555984
47,2017,567879
